Channel 1,Channel 2,Channel 3,Channel 4
0.000,23.240,1002.550,47.860
1.000,24.270,1002.520,42.810
0.000,23.240,1002.560,47.620
1.000,24.270,1002.510,42.770
0.000,23.240,1002.540,47.410
1.000,24.280,1002.530,42.800
0.000,23.240,1002.560,47.290
1.000,24.280,1002.530,42.800
0.000,23.230,1002.530,47.260
1.000,24.280,1002.520,42.770
0.000,23.240,1002.550,47.310
1.000,24.280,1002.560,42.770
0.000,23.250,1002.540,47.590
1.000,24.280,1002.550,42.660
0.000,23.240,1002.560,47.750
1.000,24.280,1002.510,42.740
0.000,23.240,1002.530,48.090
1.000,24.290,1002.530,42.740
0.000,23.240,1002.510,48.200
1.000,24.290,1002.530,42.730
0.000,23.250,1002.550,47.970
1.000,24.290,1002.530,42.730
0.000,23.240,1002.560,47.870
1.000,24.290,1002.520,42.730
0.000,23.240,1002.550,48.090
1.000,24.300,1002.540,42.720
0.000,23.250,1002.550,48.480
1.000,24.300,1002.500,42.720
0.000,23.240,1002.560,48.710
1.000,24.300,1002.540,42.740
0.000,23.240,1002.540,48.760
1.000,24.310,1002.530,43.380
0.000,23.240,1002.540,48.760
1.000,24.320,1002.540,44.110
0.000,23.250,1002.560,48.350
1.000,24.320,1002.550,44.320
0.000,23.240,1002.570,47.980
1.000,24.320,1002.550,44.320
0.000,23.250,1002.550,47.970
1.000,24.330,1002.540,44.460
0.000,23.250,1002.560,47.740
1.000,24.350,1002.520,44.190
0.000,23.250,1002.540,47.490
1.000,24.340,1002.520,43.640
0.000,23.250,1002.520,47.370
1.000,24.340,1002.500,43.250
0.000,23.240,1002.510,47.280
1.000,24.350,1002.530,43.580
0.000,23.240,1002.560,47.280
1.000,24.360,1002.530,44.530
0.000,23.250,1002.550,47.290
1.000,24.370,1002.530,44.020
0.000,23.250,1002.560,47.240
1.000,24.370,1002.520,44.640
0.000,23.250,1002.540,47.210
1.000,24.380,1002.530,43.800
0.000,23.250,1002.550,47.200
1.000,24.380,1002.520,43.260
0.000,23.250,1002.560,47.210
1.000,24.390,1002.570,42.940
0.000,23.250,1002.550,47.200
1.000,24.410,1002.560,42.800
0.000,23.250,1002.550,47.180
1.000,24.410,1002.530,42.810
0.000,23.250,1002.550,47.180
1.000,24.420,1002.560,44.550
0.000,23.250,1002.560,47.160
1.000,24.420,1002.560,44.550
0.000,23.250,1002.550,47.610
1.000,24.420,1002.550,45.900
0.000,23.250,1002.520,47.560
1.000,24.430,1002.550,44.500
0.000,23.250,1002.550,48.110
1.000,24.430,1002.550,43.610
0.000,23.250,1002.540,48.560
1.000,24.440,1002.550,44.530
0.000,23.250,1002.520,48.370
1.000,24.440,1002.540,45.890
0.000,23.250,1002.570,47.820
1.000,24.440,1002.570,45.210
0.000,23.250,1002.550,47.560
1.000,24.450,1002.540,44.480
0.000,23.250,1002.520,47.490
1.000,24.450,1002.560,44.340
0.000,23.240,1002.530,47.410
1.000,24.470,1002.540,44.950
0.000,23.250,1002.540,47.300
1.000,24.470,1002.540,45.120
0.000,23.250,1002.540,47.230
1.000,24.480,1002.570,45.810
0.000,23.240,1002.550,47.180
1.000,24.480,1002.540,46.250
0.000,23.250,1002.550,47.160
1.000,24.490,1002.560,45.580
0.000,23.250,1002.560,47.520
1.000,24.500,1002.520,45.370
0.000,23.250,1002.560,47.520
1.000,24.500,1002.520,45.370
0.000,23.240,1002.560,47.440
1.000,24.500,1002.550,44.880
0.000,23.240,1002.570,47.260
1.000,24.500,1002.560,45.770
0.000,23.250,1002.540,47.250
1.000,24.510,1002.550,45.900
0.000,23.240,1002.550,47.630
1.000,24.500,1002.550,44.570
0.000,23.250,1002.570,48.280
1.000,24.510,1002.540,44.570
0.000,23.250,1002.550,48.820
1.000,24.510,1002.540,45.420
0.000,23.250,1002.550,48.690
1.000,24.520,1002.560,46.410
0.000,23.260,1002.570,48.320
1.000,24.520,1002.560,45.580
0.000,23.250,1002.600,48.040
1.000,24.530,1002.570,46.510
0.000,23.260,1002.580,47.670
1.000,24.540,1002.560,47.790
0.000,23.250,1002.570,47.460
1.000,24.540,1002.580,47.590
0.000,23.250,1002.570,47.350
1.000,24.550,1002.580,47.860
0.000,23.250,1002.560,47.590
1.000,24.560,1002.590,48.460
0.000,23.250,1002.570,47.560
1.000,24.560,1002.590,48.590
0.000,23.250,1002.550,47.390
1.000,24.560,1002.590,48.590
0.000,23.250,1002.550,47.390
1.000,24.560,1002.580,47.940
0.000,23.250,1002.600,47.350
1.000,24.570,1002.580,47.530
0.000,23.250,1002.570,47.650
1.000,24.580,1002.580,46.870
0.000,23.260,1002.560,47.620
1.000,24.580,1002.580,46.920
0.000,23.250,1002.580,47.510
1.000,24.590,1002.580,48.200
0.000,23.260,1002.570,47.370
1.000,24.600,1002.580,48.360
0.000,23.260,1002.570,47.250
1.000,24.600,1002.550,47.040
0.000,23.250,1002.550,47.190
1.000,24.610,1002.560,46.630
0.000,23.240,1002.560,47.140
1.000,24.610,1002.570,46.790
0.000,23.250,1002.560,47.120
1.000,24.610,1002.550,45.480
0.000,23.250,1002.540,47.230
1.000,24.620,1002.560,45.950
0.000,23.250,1002.530,47.670
1.000,24.620,1002.560,46.410
0.000,23.250,1002.550,47.680
1.000,24.620,1002.590,47.220
