Channel 1,Channel 2,Channel 3,Channel 4
1.000,25.010,1002.460,42.880
0.000,23.560,1002.490,48.570
1.000,25.010,1002.470,42.850
0.000,23.560,1002.460,48.390
1.000,25.010,1002.470,42.870
0.000,23.560,1002.490,48.380
1.000,25.010,1002.490,42.920
0.000,23.560,1002.470,48.220
1.000,25.010,1002.460,43.020
0.000,23.560,1002.460,48.130
1.000,25.010,1002.470,42.910
0.000,23.560,1002.490,48.070
1.000,25.000,1002.450,42.960
0.000,23.560,1002.460,48.050
1.000,25.000,1002.450,42.960
0.000,23.560,1002.490,48.010
1.000,25.000,1002.460,42.920
0.000,23.560,1002.460,47.990
1.000,25.010,1002.470,42.950
0.000,23.560,1002.470,47.970
1.000,25.000,1002.470,43.010
0.000,23.550,1002.460,47.960
1.000,24.990,1002.450,43.070
0.000,23.550,1002.440,47.930
1.000,24.990,1002.470,43.100
0.000,23.550,1002.450,47.970
1.000,25.000,1002.480,43.100
0.000,23.550,1002.460,47.990
1.000,24.990,1002.460,43.050
0.000,23.550,1002.450,48.060
1.000,24.990,1002.470,43.000
0.000,23.550,1002.490,48.290
1.000,24.980,1002.490,42.990
0.000,23.550,1002.490,48.290
1.000,24.980,1002.470,43.000
0.000,23.550,1002.470,48.260
1.000,24.980,1002.440,43.000
0.000,23.550,1002.470,48.200
1.000,24.970,1002.460,43.010
0.000,23.550,1002.480,48.070
1.000,24.970,1002.450,43.040
0.000,23.550,1002.480,48.050
1.000,24.960,1002.440,43.090
0.000,23.550,1002.480,47.980
1.000,24.960,1002.460,43.120
0.000,23.550,1002.450,47.980
1.000,24.960,1002.480,43.150
0.000,23.550,1002.480,48.080
1.000,24.960,1002.480,43.150
0.000,23.550,1002.480,48.060
1.000,24.970,1002.480,43.170
0.000,23.550,1002.470,48.580
1.000,24.970,1002.460,43.180
0.000,23.550,1002.460,48.820
1.000,24.970,1002.450,43.200
0.000,23.550,1002.460,48.500
1.000,24.960,1002.470,43.180
0.000,23.550,1002.480,48.380
1.000,24.960,1002.450,43.170
0.000,23.550,1002.490,48.250
1.000,24.960,1002.440,43.160
0.000,23.550,1002.470,48.070
1.000,24.970,1002.450,43.150
0.000,23.550,1002.500,48.030
1.000,24.970,1002.460,43.160
0.000,23.550,1002.510,48.000
1.000,24.970,1002.480,43.150
0.000,23.550,1002.510,48.000
1.000,24.970,1002.500,43.150
0.000,23.550,1002.510,47.980
1.000,24.970,1002.470,43.100
0.000,23.540,1002.480,47.970
1.000,24.970,1002.480,43.080
0.000,23.550,1002.480,48.100
1.000,24.980,1002.470,43.060
0.000,23.540,1002.490,48.350
1.000,24.970,1002.470,43.070
0.000,23.540,1002.480,48.270
1.000,24.970,1002.440,43.020
0.000,23.550,1002.460,48.430
1.000,24.970,1002.440,43.020
0.000,23.550,1002.480,48.380
1.000,24.980,1002.490,43.010
0.000,23.550,1002.480,48.250
1.000,24.970,1002.470,43.000
0.000,23.540,1002.460,48.200
1.000,24.970,1002.450,43.000
0.000,23.550,1002.470,48.180
1.000,24.980,1002.460,43.010
0.000,23.540,1002.490,48.120
1.000,24.970,1002.420,43.040
0.000,23.540,1002.480,48.750
1.000,24.980,1002.440,43.070
0.000,23.550,1002.470,49.360
1.000,24.980,1002.430,43.060
0.000,23.550,1002.480,49.440
1.000,24.980,1002.440,43.030
0.000,23.550,1002.470,49.570
1.000,24.980,1002.450,43.010
0.000,23.550,1002.460,49.700
1.000,24.970,1002.440,43.000
0.000,23.550,1002.460,49.700
1.000,24.980,1002.460,42.950
0.000,23.550,1002.480,49.890
1.000,24.970,1002.460,42.930
0.000,23.550,1002.470,49.520
1.000,24.970,1002.440,42.940
0.000,23.540,1002.480,49.280
1.000,24.970,1002.450,42.940
0.000,23.540,1002.460,49.340
1.000,24.980,1002.450,42.940
0.000,23.550,1002.460,48.860
1.000,24.980,1002.450,42.940
0.000,23.550,1002.460,48.700
1.000,24.970,1002.460,42.950
0.000,23.550,1002.480,49.200
1.000,24.970,1002.460,42.970
0.000,23.550,1002.460,49.620
1.000,24.970,1002.460,42.980
0.000,23.550,1002.470,49.300
1.000,24.970,1002.420,43.000
0.000,23.550,1002.470,48.930
1.000,24.970,1002.450,43.020
0.000,23.550,1002.460,48.640
1.000,24.980,1002.440,43.040
0.000,23.550,1002.470,48.700
1.000,24.970,1002.450,43.040
0.000,23.550,1002.470,48.550
1.000,24.980,1002.470,43.060
0.000,23.550,1002.470,48.480
1.000,24.980,1002.440,43.040
0.000,23.540,1002.470,48.540
1.000,24.970,1002.450,43.040
0.000,23.550,1002.460,48.680
1.000,24.970,1002.440,43.060
0.000,23.550,1002.450,49.000
1.000,24.980,1002.480,43.070
0.000,23.550,1002.450,49.000
1.000,24.980,1002.460,43.080
0.000,23.550,1002.460,49.030
1.000,24.980,1002.450,43.080
0.000,23.550,1002.460,48.850
1.000,24.980,1002.440,43.060
0.000,23.550,1002.490,48.900
1.000,24.980,1002.470,43.020
0.000,23.560,1002.460,48.760
1.000,24.980,1002.470,43.020
0.000,23.550,1002.450,49.050
1.000,24.980,1002.460,43.020
0.000,23.560,1002.470,49.930
1.000,24.980,1002.450,43.040
0.000,23.550,1002.490,49.900
1.000,24.980,1002.450,43.000
0.000,23.550,1002.480,49.140
1.000,24.980,1002.450,42.970
0.000,23.560,1002.500,48.690
1.000,24.980,1002.450,42.950
0.000,23.560,1002.500,48.450
1.000,24.980,1002.460,42.930
0.000,23.560,1002.460,48.330
1.000,24.980,1002.450,42.900
0.000,23.550,1002.460,48.330
1.000,24.980,1002.460,42.890
0.000,23.560,1002.460,48.510
1.000,24.980,1002.440,42.870
0.000,23.560,1002.460,48.610
1.000,24.980,1002.460,42.880
0.000,23.560,1002.470,48.500
1.000,24.980,1002.450,42.890
0.000,23.560,1002.460,48.340
1.000,24.980,1002.440,42.890
0.000,23.560,1002.460,48.220
1.000,24.980,1002.440,42.870
0.000,23.560,1002.460,48.220
1.000,24.980,1002.430,42.870
0.000,23.560,1002.460,48.150
1.000,24.980,1002.440,42.840
0.000,23.560,1002.450,48.150
1.000,24.970,1002.430,42.840
0.000,23.560,1002.460,48.120
1.000,24.970,1002.430,42.840
0.000,23.560,1002.470,48.060
1.000,24.980,1002.440,42.870
0.000,23.560,1002.460,48.040
1.000,24.970,1002.450,42.860
0.000,23.560,1002.460,48.010
1.000,24.970,1002.410,42.890
0.000,23.560,1002.460,48.060
1.000,24.980,1002.450,42.840
0.000,23.560,1002.490,48.290
1.000,24.980,1002.460,42.810
0.000,23.560,1002.510,48.910
1.000,24.970,1002.480,42.840
0.000,23.560,1002.480,49.620
1.000,24.980,1002.450,42.840
0.000,23.570,1002.480,49.810
1.000,24.970,1002.460,42.860
0.000,23.560,1002.490,49.490
1.000,24.970,1002.440,42.830
0.000,23.560,1002.460,49.050
1.000,24.970,1002.460,42.840
0.000,23.570,1002.510,48.840
1.000,24.970,1002.480,42.860
0.000,23.570,1002.480,48.570
1.000,24.970,1002.460,42.910
0.000,23.570,1002.500,48.380
1.000,24.960,1002.500,42.930
0.000,23.570,1002.500,48.380
1.000,24.960,1002.440,42.900
0.000,23.570,1002.510,48.270
1.000,24.970,1002.450,42.890
0.000,23.570,1002.480,48.280
1.000,24.970,1002.450,42.890
0.000,23.570,1002.500,48.430
1.000,24.970,1002.450,42.880
0.000,23.570,1002.470,48.780
1.000,24.960,1002.480,42.880
0.000,23.570,1002.460,49.000
1.000,24.960,1002.450,42.830
0.000,23.570,1002.460,49.350
1.000,24.970,1002.450,42.860
0.000,23.570,1002.480,49.260
1.000,24.970,1002.480,42.840
0.000,23.570,1002.480,49.160
1.000,24.960,1002.460,42.840
0.000,23.570,1002.450,49.390
1.000,24.960,1002.480,42.870
0.000,23.570,1002.440,49.620
1.000,24.960,1002.440,42.890
0.000,23.570,1002.440,49.500
1.000,24.960,1002.440,42.930
0.000,23.570,1002.470,49.180
1.000,24.970,1002.420,42.940
0.000,23.580,1002.450,49.030
1.000,24.960,1002.440,42.890
